,agent_id,date_utc,punch_in,punch_out,user_shift_assign,timezone_string,time_zone
35,2424,2023-07-20,2023-07-20 05:52:00,2023-07-20 05:55:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
36,2424,2023-07-20,2023-07-20 06:00:00,2023-07-20 06:03:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
37,2424,2023-07-20,2023-07-20 22:20:00,2023-07-20 22:38:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
38,2424,2023-07-20,2023-07-20 22:46:00,2023-07-21 00:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
39,2563,2023-07-20,2023-07-20 00:00:00,2023-07-20 00:28:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
40,2563,2023-07-20,2023-07-20 00:36:00,2023-07-20 00:43:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
41,2563,2023-07-20,2023-07-20 01:26:00,2023-07-20 01:29:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
42,2581,2023-07-20,2023-07-20 00:00:00,2023-07-20 00:45:00,MNL Sales 16: Tue-Sat | 2:00-10:00,Asia/Manila,-8:00:00
43,2581,2023-07-20,2023-07-20 01:55:00,2023-07-20 02:04:00,MNL Sales 16: Tue-Sat | 2:00-10:00,Asia/Manila,-8:00:00
44,2581,2023-07-20,2023-07-20 17:56:00,2023-07-20 17:59:00,MNL Sales 16: Tue-Sat | 2:00-10:00,Asia/Manila,-8:00:00
45,2581,2023-07-20,2023-07-20 18:02:00,2023-07-20 18:12:00,MNL Sales 16: Tue-Sat | 2:00-10:00,Asia/Manila,-8:00:00
46,2581,2023-07-20,2023-07-20 18:20:00,2023-07-20 19:58:00,MNL Sales 16: Tue-Sat | 2:00-10:00,Asia/Manila,-8:00:00
47,2581,2023-07-20,2023-07-20 20:37:00,2023-07-20 21:00:00,MNL Sales 16: Tue-Sat | 2:00-10:00,Asia/Manila,-8:00:00
48,2581,2023-07-20,2023-07-20 21:15:00,2023-07-20 21:46:00,MNL Sales 16: Tue-Sat | 2:00-10:00,Asia/Manila,-8:00:00
49,2581,2023-07-20,2023-07-20 21:56:00,2023-07-20 22:03:00,MNL Sales 16: Tue-Sat | 2:00-10:00,Asia/Manila,-8:00:00
50,2581,2023-07-20,2023-07-20 22:15:00,2023-07-21 00:00:00,MNL Sales 16: Tue-Sat | 2:00-10:00,Asia/Manila,-8:00:00
51,2812,2023-07-20,2023-07-20 00:00:00,2023-07-20 00:41:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
52,2812,2023-07-20,2023-07-20 00:54:00,2023-07-20 00:57:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
53,2812,2023-07-20,2023-07-20 01:21:00,2023-07-20 01:24:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
54,2812,2023-07-20,2023-07-20 01:39:00,2023-07-20 02:27:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
55,2812,2023-07-20,2023-07-20 02:52:00,2023-07-20 03:06:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
56,2812,2023-07-20,2023-07-20 17:07:00,2023-07-20 17:10:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
57,2812,2023-07-20,2023-07-20 17:52:00,2023-07-20 18:59:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
58,2812,2023-07-20,2023-07-20 19:04:00,2023-07-20 19:48:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
59,2812,2023-07-20,2023-07-20 19:56:00,2023-07-20 19:59:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
60,2812,2023-07-20,2023-07-20 20:02:00,2023-07-20 21:15:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
61,2812,2023-07-20,2023-07-20 21:28:00,2023-07-20 23:25:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
62,2812,2023-07-20,2023-07-20 23:46:00,2023-07-21 00:00:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
63,2818,2023-07-20,2023-07-20 00:00:00,2023-07-20 00:16:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
64,2818,2023-07-20,2023-07-20 00:47:00,2023-07-20 00:53:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
65,2818,2023-07-20,2023-07-20 16:02:00,2023-07-20 16:43:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
66,2818,2023-07-20,2023-07-20 16:48:00,2023-07-20 16:51:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
67,2818,2023-07-20,2023-07-20 16:57:00,2023-07-20 17:49:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
68,2818,2023-07-20,2023-07-20 17:55:00,2023-07-20 18:04:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
69,2818,2023-07-20,2023-07-20 18:07:00,2023-07-20 19:00:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
70,2818,2023-07-20,2023-07-20 19:16:00,2023-07-20 20:00:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
71,2818,2023-07-20,2023-07-20 20:12:00,2023-07-20 20:16:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
72,2818,2023-07-20,2023-07-20 20:19:00,2023-07-20 20:23:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
73,2818,2023-07-20,2023-07-20 20:27:00,2023-07-20 20:31:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
74,2818,2023-07-20,2023-07-20 20:44:00,2023-07-20 22:05:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
75,2818,2023-07-20,2023-07-20 22:30:00,2023-07-21 00:00:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
76,2876,2023-07-20,2023-07-20 00:00:00,2023-07-20 00:05:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
77,2876,2023-07-20,2023-07-20 16:02:00,2023-07-20 17:17:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
78,2876,2023-07-20,2023-07-20 17:30:00,2023-07-20 17:58:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
79,2876,2023-07-20,2023-07-20 18:04:00,2023-07-20 19:02:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
80,2876,2023-07-20,2023-07-20 19:05:00,2023-07-20 19:28:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
81,2876,2023-07-20,2023-07-20 19:34:00,2023-07-20 22:32:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
82,2876,2023-07-20,2023-07-20 22:35:00,2023-07-21 00:00:00,DEL Sales 12 Tue - Sat 09:30 PM,Asia/Kolkata,-5:30:00
83,2895,2023-07-20,2023-07-20 00:00:00,2023-07-20 00:46:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
84,2895,2023-07-20,2023-07-20 01:39:00,2023-07-20 04:18:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
85,2895,2023-07-20,2023-07-20 04:22:00,2023-07-20 04:52:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
86,2895,2023-07-20,2023-07-20 05:05:00,2023-07-20 05:19:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
87,2895,2023-07-20,2023-07-20 05:40:00,2023-07-20 05:50:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
88,2895,2023-07-20,2023-07-20 05:58:00,2023-07-20 06:01:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
89,2895,2023-07-20,2023-07-20 06:28:00,2023-07-20 06:31:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
90,2895,2023-07-20,2023-07-20 08:21:00,2023-07-20 08:25:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
91,2895,2023-07-20,2023-07-20 10:20:00,2023-07-20 10:25:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
92,2895,2023-07-20,2023-07-20 22:04:00,2023-07-20 23:45:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
93,2895,2023-07-20,2023-07-20 23:50:00,2023-07-20 23:53:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
94,2895,2023-07-20,2023-07-20 23:58:00,2023-07-21 00:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00,Asia/Manila,-8:00:00
95,2967,2023-07-20,2023-07-20 00:00:00,2023-07-20 01:04:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
96,2967,2023-07-20,2023-07-20 17:00:00,2023-07-20 18:03:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
97,2967,2023-07-20,2023-07-20 18:14:00,2023-07-20 18:20:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
98,2967,2023-07-20,2023-07-20 21:32:00,2023-07-20 22:43:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
99,2967,2023-07-20,2023-07-20 23:19:00,2023-07-21 00:00:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
100,2968,2023-07-20,2023-07-20 00:00:00,2023-07-20 00:06:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
101,2968,2023-07-20,2023-07-20 00:14:00,2023-07-20 00:54:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
102,2968,2023-07-20,2023-07-20 16:18:00,2023-07-20 16:41:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
103,2968,2023-07-20,2023-07-20 17:10:00,2023-07-20 17:55:00,NewRiv_2230-0730 Tue-Sat,Asia/Kolkata,-5:30:00
104,3007,2023-07-20,2023-07-20 00:00:00,2023-07-20 00:37:00,MNL Sales 1: Mon-Fri | 06:00 - 14:00,Asia/Manila,-8:00:00
105,3007,2023-07-20,2023-07-20 01:03:00,2023-07-20 03:02:00,MNL Sales 1: Mon-Fri | 06:00 - 14:00,Asia/Manila,-8:00:00
106,3007,2023-07-20,2023-07-20 03:56:00,2023-07-20 04:31:00,MNL Sales 1: Mon-Fri | 06:00 - 14:00,Asia/Manila,-8:00:00
107,3007,2023-07-20,2023-07-20 04:34:00,2023-07-20 05:55:00,MNL Sales 1: Mon-Fri | 06:00 - 14:00,Asia/Manila,-8:00:00
108,3007,2023-07-20,2023-07-20 05:58:00,2023-07-20 06:02:00,MNL Sales 1: Mon-Fri | 06:00 - 14:00,Asia/Manila,-8:00:00
109,3007,2023-07-20,2023-07-20 22:04:00,2023-07-20 22:29:00,MNL Sales 1: Mon-Fri | 06:00 - 14:00,Asia/Manila,-8:00:00
110,3007,2023-07-20,2023-07-20 22:57:00,2023-07-20 23:29:00,MNL Sales 1: Mon-Fri | 06:00 - 14:00,Asia/Manila,-8:00:00
111,3007,2023-07-20,2023-07-20 23:32:00,2023-07-21 00:00:00,MNL Sales 1: Mon-Fri | 06:00 - 14:00,Asia/Manila,-8:00:00
112,3074,2023-07-20,2023-07-20 00:00:00,2023-07-20 00:28:00,NewRiv_2359-0900,Asia/Kolkata,-5:30:00
113,3074,2023-07-20,2023-07-20 00:52:00,2023-07-20 01:16:00,NewRiv_2359-0900,Asia/Kolkata,-5:30:00
114,3074,2023-07-20,2023-07-20 01:22:00,2023-07-20 02:37:00,NewRiv_2359-0900,Asia/Kolkata,-5:30:00
115,3074,2023-07-20,2023-07-20 02:43:00,2023-07-20 02:55:00,NewRiv_2359-0900,Asia/Kolkata,-5:30:00
116,3074,2023-07-20,2023-07-20 02:58:00,2023-07-20 03:07:00,NewRiv_2359-0900,Asia/Kolkata,-5:30:00
117,1719,2023-07-20,2023-07-20 00:01:00,2023-07-20 02:28:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
118,1719,2023-07-20,2023-07-20 02:41:00,2023-07-20 02:44:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
119,1719,2023-07-20,2023-07-20 18:04:00,2023-07-20 22:16:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
120,1719,2023-07-20,2023-07-20 22:33:00,2023-07-20 22:36:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
121,1719,2023-07-20,2023-07-20 22:41:00,2023-07-20 22:51:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
122,1719,2023-07-20,2023-07-20 22:56:00,2023-07-20 23:03:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
123,1719,2023-07-20,2023-07-20 23:09:00,2023-07-21 00:00:00,DEL Sales 13 Sun - Thu 11:30 PM,Asia/Kolkata,-5:30:00
