"agent_id","date_utc","timezone_string","time_zone","user_shift_assign"
777,"2023-07-18",Asia/Kolkata,-5:30:00,Del Sales 10 Sun-Thu 7.30 PM
777,"2023-07-19",Asia/Kolkata,-5:30:00,Del Sales 10 Sun-Thu 7.30 PM
777,"2023-07-20",Asia/Kolkata,-5:30:00,Del Sales 10 Sun-Thu 7.30 PM
826,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 1 Tue-Sat 12.30am
826,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 1 Tue-Sat 12.30am
826,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 1 Tue-Sat 12.30am
877,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 7 Sun - Thu 04:30 PM 
877,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 7 Sun - Thu 04:30 PM 
877,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 7 Sun - Thu 04:30 PM 
878,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
878,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
878,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
892,"2023-07-18",Asia/Kolkata,-5:30:00,Del Sales 10 Sun-Thu 7.30 PM
892,"2023-07-19",Asia/Kolkata,-5:30:00,Del Sales 10 Sun-Thu 7.30 PM
892,"2023-07-20",Asia/Kolkata,-5:30:00,Del Sales 10 Sun-Thu 7.30 PM
910,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 7 Sun - Thu 04:30 PM 
910,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 7 Sun - Thu 04:30 PM 
910,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 7 Sun - Thu 04:30 PM 
926,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 8 Tue - Sat 06:30 PM
926,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 8 Tue - Sat 06:30 PM
926,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 8 Tue - Sat 06:30 PM
997,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 3 Tue-Sat 2.30am
997,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 3 Tue-Sat 2.30am
997,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 3 Tue-Sat 2.30am
1204,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 3 Tue-Sat 2.30am
1204,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 3 Tue-Sat 2.30am
1204,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 3 Tue-Sat 2.30am
1256,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 6 Sun - Thu 05:30 AM
1256,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 6 Sun - Thu 05:30 AM
