"agent_id","date_utc","timezone_string","time_zone","user_shift_assign"
2985,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 7: Sun-Thu | 06:00 - 14:00
2985,"2023-07-19",Asia/Manila,-8:00:00,MNL Sales 7: Sun-Thu | 06:00 - 14:00
2986,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 7: Sun-Thu | 06:00 - 14:00
2986,"2023-07-19",Asia/Manila,-8:00:00,MNL Sales 7: Sun-Thu | 06:00 - 14:00
2987,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 12: Sun-Thu | 20:00 - 04:00
2987,"2023-07-19",Asia/Manila,-8:00:00,MNL Sales 12: Sun-Thu | 20:00 - 04:00
2987,"2023-07-20",Asia/Manila,-8:00:00,MNL Sales 12: Sun-Thu | 20:00 - 04:00
2988,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 9: Sun-Thu | 21:00 - 05:00
2988,"2023-07-19",Asia/Manila,-8:00:00,MNL Sales 9: Sun-Thu | 21:00 - 05:00
2988,"2023-07-20",Asia/Manila,-8:00:00,MNL Sales 9: Sun-Thu | 21:00 - 05:00
2999,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Tue-Sat
2999,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Tue-Sat
2999,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Tue-Sat
3000,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3000,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3000,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3001,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3001,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3001,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3002,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3002,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3002,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3003,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3003,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3003,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3004,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3004,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3004,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3005,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00
3005,"2023-07-19",Asia/Manila,-8:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00
3005,"2023-07-20",Asia/Manila,-8:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00
3006,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00
3006,"2023-07-19",Asia/Manila,-8:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00
3006,"2023-07-20",Asia/Manila,-8:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00
3007,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 1: Mon-Fri | 06:00 - 14:00
3007,"2023-07-19",Asia/Manila,-8:00:00,MNL Sales 1: Mon-Fri | 06:00 - 14:00
3007,"2023-07-20",Asia/Manila,-8:00:00,MNL Sales 1: Mon-Fri | 06:00 - 14:00
3008,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 7: Sun-Thu | 06:00 - 14:00
3008,"2023-07-19",Asia/Manila,-8:00:00,MNL Sales 7: Sun-Thu | 06:00 - 14:00
3009,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 7: Sun-Thu | 06:00 - 14:00
3009,"2023-07-19",Asia/Manila,-8:00:00,MNL Sales 7: Sun-Thu | 06:00 - 14:00
3010,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00
3010,"2023-07-19",Asia/Manila,-8:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00
3010,"2023-07-20",Asia/Manila,-8:00:00,MNL Sales 4: Tue-Sat | 06:00 - 14:00
3012,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 7: Sun-Thu | 06:00 - 14:00
3012,"2023-07-19",Asia/Manila,-8:00:00,MNL Sales 7: Sun-Thu | 06:00 - 14:00
3013,"2023-07-18",Asia/Manila,-8:00:00,MNL Sales 9: Sun-Thu | 21:00 - 05:00
