"agent_id","punch_in","punch_out","date_utc"
747,2023-07-20 01:22:00,2023-07-20 01:42:00,2023-07-20
997,2023-07-20 01:22:00,2023-07-20 01:28:00,2023-07-20
3074,2023-07-20 01:22:00,2023-07-20 02:37:00,2023-07-20
2462,2023-07-20 01:23:00,2023-07-20 01:27:00,2023-07-20
2563,2023-07-20 01:26:00,2023-07-20 01:29:00,2023-07-20
452,2023-07-20 01:27:00,2023-07-20 01:32:00,2023-07-20
2803,2023-07-20 01:28:00,2023-07-20 01:31:00,2023-07-20
563,2023-07-20 01:29:00,2023-07-20 01:32:00,2023-07-20
1763,2023-07-20 01:34:00,2023-07-20 01:50:00,2023-07-20
2462,2023-07-20 01:34:00,2023-07-20 02:03:00,2023-07-20
563,2023-07-20 01:35:00,2023-07-20 01:38:00,2023-07-20
2779,2023-07-20 01:36:00,2023-07-20 02:13:00,2023-07-20
2812,2023-07-20 01:39:00,2023-07-20 02:27:00,2023-07-20
2895,2023-07-20 01:39:00,2023-07-20 04:18:00,2023-07-20
2638,2023-07-20 01:44:00,2023-07-20 02:34:00,2023-07-20
747,2023-07-20 01:45:00,2023-07-20 03:28:00,2023-07-20
563,2023-07-20 01:46:00,2023-07-20 01:49:00,2023-07-20
2803,2023-07-20 01:46:00,2023-07-20 01:49:00,2023-07-20
2251,2023-07-20 01:47:00,2023-07-20 03:10:00,2023-07-20
452,2023-07-20 01:48:00,2023-07-20 02:55:00,2023-07-20
997,2023-07-20 01:50:00,2023-07-20 01:53:00,2023-07-20
563,2023-07-20 01:52:00,2023-07-20 01:55:00,2023-07-20
2581,2023-07-20 01:55:00,2023-07-20 02:04:00,2023-07-20
997,2023-07-20 01:56:00,2023-07-20 02:10:00,2023-07-20
1827,2023-07-20 01:56:00,2023-07-20 01:59:00,2023-07-20
525,2023-07-20 02:04:00,2023-07-20 03:09:00,2023-07-20
601,2023-07-20 02:04:00,2023-07-20 02:15:00,2023-07-20
563,2023-07-20 02:07:00,2023-07-20 02:10:00,2023-07-20
1763,2023-07-20 02:08:00,2023-07-20 02:11:00,2023-07-20
2803,2023-07-20 02:10:00,2023-07-20 02:42:00,2023-07-20
997,2023-07-20 02:13:00,2023-07-20 02:18:00,2023-07-20
563,2023-07-20 02:17:00,2023-07-20 02:20:00,2023-07-20
601,2023-07-20 02:21:00,2023-07-20 03:07:00,2023-07-20
