id,number,status
1,2,True
1,3,True
1,4,True
1,5,True
1,6,False
1,7,False
1,8,False
1,9,False
316480,2,True
316480,3,True
316480,4,True
316480,5,True
316480,6,True
316480,7,True
316480,8,True
316480,9,True
1063787780,2,False
1063787780,3,False
1063787780,4,True
1063787780,5,True
1063787780,6,False
1063787780,7,False
1063787780,8,False
1063787780,9,True
5410619880,2,True
5410619880,3,True
5410619880,4,True
5410619880,5,True
5410619880,6,True
5410619880,7,True
5410619880,8,True
5410619880,9,True
